Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
A-B-C_of_Electricity_Wm_H_Meadowcroft,24.933930571108622,22266,4.323946824755232,893,125908,1860,0.08353543519267044,1.35156741219797,0.6934339351477589,5.25015719033504,2.717147219976646,3.1527890056588523,2.094955940443634,60.08,11.8,12.1,5.94,13.8,11.92,30.5,18.919999999999998
Applied_Psychology_for_Nurses_Mary_F_Porter,21.053457292271936,36233,4.5812932961664785,1721,222044,4338,0.11972511246653603,1.4569591256589296,0.7030883448789778,7.752601219882428,4.236469516738885,5.7268236138326944,3.1187453323375656,57.91,10.6,12.6,6.24,12.2,10.25,16.25,18.119999999999997
Bronchoscopy_and_Esophagoscopy_Chevalier_Jackson,16.687514010311588,74443,5.011525596765311,4461,479524,5909,0.07937616700025522,1.5806052953266256,0.7121287427965021,1.4843571591687599,3.609473019625754,2.987520653385812,2.279709769370303,52.09,10.7,13.2,5.72,12.7,8.94,22.333333333333332,17.259999999999998
Cattle_and_Their_Diseases_Robert_Jennings,24.170594536689876,90253,4.588667412717583,3734,538839,7450,0.08254573255182653,1.4363179063299836,0.7082313053305708,3.530076562551937,2.725671168825413,3.4680287635868057,2.336660541262947,54.05,12.1,13.0,6.06,14.3,11.24,14.75,18.26
Chlorination_of_Water_Joseph_Race,15.675524475524476,33624,5.063436830835117,2145,258042,3643,0.10834522959790625,1.607661194384963,0.7059540804187485,0.9517011658339282,4.547347133000238,4.529502736140851,2.43241913663756,53.51,10.2,12.4,6.06,13.3,8.5,17.75,17.6
Common_Diseases_of_Farm_Animals,15.06793526587231,84727,4.762920910689627,5623,528041,5514,0.06507960862534966,1.5130949992328302,0.7091954158650725,1.5921725069930484,3.6009772563645592,2.2401359661028954,1.9025069637883008,63.19,8.5,12.0,5.42,10.4,7.51,17.0,18.080000000000002
Electric_Transmission_of_Water_Power_Alton_D_Adams,26.91979695431472,106064,4.6101410469150705,3940,681192,3891,0.03668539749585156,1.4516046915070147,0.710533262935586,1.3906697842811888,3.2904661336551517,1.1285638859556495,2.0053784470956386,52.94,12.5,13.4,1.82,15.0,11.02,7.875,18.380000000000003
Elementary_cryptanalysis_Helen_Fouché_Gaines,23.43727598566308,124241,3.6440949445030224,5301,750719,5847,0.04706175900065196,1.3532972207242375,0.773939359792661,4.063070966911084,1.7369467406089776,2.191708051287417,2.4223489544590464,66.0,11.6,12.6,2.25,11.6,12.65,21.666666666666668,18.5
History_of_Astronomy_George_Forbes,21.703229398663698,38979,4.7159496138946615,1796,240476,4786,0.12278406321352524,1.4941378691090075,0.6874983965725134,4.056030170091588,3.0991046460914853,5.944226378306268,2.5494422181306184,57.0,10.9,13.0,6.57,13.0,10.64,23.0,18.04
Inventions_in_the_Century_William_Henry_Doolittle,32.205060873716874,134907,4.719940403389002,4189,832378,10757,0.0797364110090655,1.4590940425626542,0.7015425441229884,2.698155025313735,2.3668156581941635,3.255576063510418,2.1616237392681503,53.95,12.1,13.3,6.09,15.0,11.16,3.8235294117647056,18.16
Lectures_on_Evolution_Huxley,35.141114982578394,20171,4.584006742352883,574,118206,2710,0.13435129641564622,1.44846561895791,0.6771107034852015,5.175747360071389,3.4009221159089784,6.454811362847653,2.9823778719607406,44.61,15.7,15.4,6.97,18.5,15.67,20.666666666666668,18.14
Mariner_Mission_to_Venus_Jet_Propulsion_Laboratory,23.35811965811966,27329,5.114932855208752,1170,186756,3507,0.12832522229133886,1.60057082220352,0.7204800761096272,1.2111676241355336,3.922573090855867,5.898496103040726,1.7174140943506115,50.46,11.4,13.4,6.39,13.9,9.94,17.5,17.8
Mental_Defectives_and_Sexual_Offenders_New_Zealand_Committee---,18.283076923076923,23768,5.015356782228206,1300,189106,3385,0.14241837765062268,1.6198670481319422,0.7046869740828005,2.9619656681252104,5.360148098283406,6.9378996970716935,2.8953920475659607,48.94,11.9,14.5,6.65,15.5,10.89,16.75,17.1
Nitro-Explosives_A_Practical_Treatise_P_Gerald_Sanford,16.004055972419387,78916,4.652035075269907,4931,559880,5106,0.06470170814536975,1.4830832784226267,0.7036849308125095,1.9615794008819503,2.7687667900045616,2.4240965076790513,2.043201577484987,63.39,8.5,11.5,5.46,10.8,7.21,24.0,18.060000000000002
On_the_Origin_of_Species_By_Means_of_Natural_Selection_Charles_Darwin,37.33157232704402,148393,4.780191788022346,3975,893958,6673,0.044968428429912465,1.5129824183081413,0.721125659566152,4.123509869063905,3.027770851724812,1.5755460163215247,2.971123550824386,43.7,16.0,16.1,2.38,19.8,14.88,16.0,17.72
Our_Common_Insects_Packard,20.224514563106798,66660,4.616441644164416,3296,402284,7067,0.10601560156015602,1.4267176717671768,0.6806630663066306,4.1449144914491445,1.776177617761776,5.022502250225022,1.9113510146883272,65.05,9.9,12.0,6.22,12.9,10.41,12.4,18.339999999999996
