Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
"About 75,000 still without power in NI after Storm Éowyn",19.8125,634,4.794952681388013,32,3903,313,0.49369085173501576,1.4227129337539433,0.7192429022082019,4.416403785488959,1.1041009463722398,34.22712933753943,1.5320197044334976,67.79,8.8,10.6,8.72,12.1,10.45,8.5,18.76
Argentina president faces impeachment calls over crypto crash,21.533333333333335,323,5.052631578947368,15,2061,186,0.5758513931888545,1.5975232198142415,0.7058823529411765,5.88235294117647,5.263157894736842,43.962848297213625,1.7938144329896908,50.77,11.2,13.8,9.98,13.6,13.19,10.166666666666666,17.46
Australia accuses China of 'unsafe' fighter jet move,26.076923076923077,339,5.303834808259587,13,2237,175,0.5162241887905604,1.6224188790560472,0.7935103244837758,3.5398230088495577,3.8348082595870205,36.87315634218289,1.25,44.78,13.5,13.6,9.88,17.7,14.61,12.8,18.12
"Austria attack that killed teen linked to IS, officials say",23.647058823529413,402,4.873134328358209,17,2508,211,0.5248756218905473,1.5472636815920398,0.7736318407960199,0.9950248756218906,4.72636815920398,36.56716417910448,1.5073529411764706,55.37,11.5,13.5,9.49,14.5,13.48,15.25,18.139999999999997
Author Cottrell-Boyce holds summit to warn about children's happiness,24.3,729,4.6598079561042525,30,4471,353,0.4842249657064472,1.4348422496570645,0.7393689986282579,7.956104252400549,3.292181069958848,33.19615912208505,1.909502262443439,64.04,10.3,12.1,8.59,14.1,12.56,19.666666666666668,18.56
"Confident, organised, still freewheeling Trump 2",28.115384615384617,1462,4.796853625170999,52,9060,657,0.4493844049247606,1.5,0.7482900136798906,6.155950752393981,2.941176470588235,34.06292749658002,1.7244444444444444,51.31,13.1,14.0,9.45,16.3,14.84,20.666666666666668,17.98
Detained Ugandan opposition figure treated in clinic overnight,19.12121212121212,631,4.741679873217116,33,3827,287,0.4548335974643423,1.5467511885895404,0.7147385103011094,7.6069730586370845,4.27892234548336,31.378763866877975,1.2360515021459229,60.35,9.6,13.2,8.63,11.6,10.92,13.8,17.78
Dozens killed in Mali illegal gold mine collapse,19.0,437,4.9016018306636155,23,2717,234,0.5354691075514875,1.5240274599542334,0.7803203661327232,2.745995423340961,2.059496567505721,37.75743707093822,1.4785714285714286,60.24,9.7,11.6,9.2,12.1,11.26,11.6,18.419999999999998
Federal employees asked to report colleagues who try to 'disguise' DEI,23.5,94,5.5,4,632,75,0.7978723404255319,1.7234042553191489,0.7872340425531915,6.382978723404255,9.574468085106384,68.08510638297872,1.9615384615384615,38.86,13.8,15.9,11.47,17.0,15.41,16.875,
Five takeaways from the Munich Security Conference,18.324324324324323,678,4.815634218289086,37,4219,321,0.47345132743362833,1.5221238938053097,0.7522123893805309,5.457227138643068,3.687315634218289,33.1858407079646,1.663265306122449,57.71,10.7,13.1,9.27,12.9,12.52,11.0,18.14
Instagram hides search results for 'Democrats',21.941176470588236,373,5.06970509383378,17,2435,213,0.5710455764075067,1.6219839142091153,0.739946380697051,5.361930294906166,2.680965147453083,42.0911528150134,2.188888888888889,50.06,11.5,13.6,9.89,14.4,13.08,16.75,17.66
Irish goods exports to US surge by 34%,20.933333333333334,314,4.8471337579617835,15,2019,179,0.5700636942675159,1.5254777070063694,0.7292993630573248,5.7324840764331215,3.1847133757961785,43.63057324840764,2.0,61.26,9.3,11.2,9.8,11.6,11.35,7.2857142857142865,18.4
Meta is ditching fact checkers for X-style community notes,19.546875,1251,5.08792965627498,64,8155,552,0.4412470023980815,1.5635491606714629,0.7617905675459632,3.5171862509992007,3.7569944044764187,31.574740207833734,2.5531914893617023,51.28,11.1,12.7,9.01,13.7,11.69,12.0,18.16
