Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
Aboriginal group seeks $1,23.55,471,5.050955414012739,20,3039,237,0.5031847133757962,1.5541401273885351,0.7112526539278131,2.335456475583864,4.246284501061571,35.6687898089172,1.653061224489796,52.49,10.6,11.9,9.61,12.7,10.78,7.7142857142857135,18.119999999999997
"After Toronto plane crash, Delta says 19 out of 21 passengers released from hospitals",24.444444444444443,220,4.804545454545455,9,1462,135,0.6136363636363636,1.4545454545454546,0.7909090909090909,1.3636363636363635,0.9090909090909091,44.09090909090909,1.2763157894736843,72.05,7.2,9.7,10.83,10.4,9.58,10.5,18.62
Bloom Energy and Chart Industries enter carbon capture partnership,25.166666666666668,151,5.377483443708609,6,1086,101,0.6688741721854304,1.7218543046357615,0.7814569536423841,3.3112582781456954,3.9735099337748347,48.34437086092716,1.2727272727272727,33.85,13.6,15.1,11.04,15.4,15.28,11.833333333333334,17.0
Dozens of false killer whales stranded on remote Australian beach,22.142857142857142,155,5.232258064516129,7,1045,108,0.6967741935483871,1.5677419354838709,0.7548387096774194,0.6451612903225806,5.161290322580645,57.41935483870968,1.2777777777777777,61.36,9.2,12.1,11.63,12.8,12.17,10.5,17.839999999999996
"Even before Trump, Black-led businesses say DEI initiatives fell flat",25.82608695652174,1188,5.35016835016835,46,8111,515,0.4335016835016835,1.6784511784511784,0.7314814814814815,3.7037037037037033,6.481481481481481,28.78787878787879,2.0792079207920793,40.28,13.2,15.2,9.24,16.1,13.09,16.75,17.080000000000002
Florence bans check-in keyboxes as Italy acts against overtourism,26.3,263,5.019011406844107,10,1786,173,0.6577946768060836,1.5513307984790874,0.7490494296577946,3.4220532319391634,7.604562737642586,50.57034220532319,1.6125,51.18,11.1,12.8,10.27,13.9,12.0,13.0,17.82
"Gaza Arab plan may involve up to $20 billion regional contribution, sources say",27.266666666666666,409,4.929095354523227,15,2561,214,0.5232273838630807,1.5012224938875305,0.7334963325183375,3.4229828850855744,2.2004889975550124,36.91931540342298,2.08,56.18,11.2,13.0,9.26,14.2,13.26,12.0,18.14
"Germany's far-right AfD is shut out from power for now, but waiting in the wings",24.275,971,4.92378990731205,40,6205,493,0.5077239958805355,1.5200823892893924,0.721936148300721,3.089598352214212,4.531410916580844,38.825952626158596,2.0526315789473686,55.17,11.6,12.8,9.81,15.2,13.11,8.833333333333334,18.1
HSBC delays net-zero emissions target by 20 years,30.375,486,5.11522633744856,16,3201,256,0.5267489711934157,1.5843621399176955,0.7592592592592593,5.967078189300412,3.7037037037037033,37.4485596707819,1.8175182481751824,50.06,11.5,13.0,9.7,14.1,12.54,14.25,17.76
India postpones winter games in Kashmir citing 'insufficient snowfall',27.272727272727273,300,4.87,11,1874,190,0.6333333333333333,1.5,0.76,2.3333333333333335,0.6666666666666667,49.0,1.6781609195402298,53.65,12.2,12.6,10.61,15.1,13.83,20.0,18.4
"Indonesia says UAE firm to explore clean energy, amending statement on nuclear power",26.4,264,5.037878787878788,10,1694,153,0.5795454545454546,1.6628787878787878,0.7575757575757576,1.5151515151515151,4.545454545454546,43.93939393939394,1.211111111111111,35.41,15.1,16.8,10.79,16.8,15.14,22.333333333333332,17.0
"Israel will begin negotiations on next phase of Gaza ceasefire this week, minister says",25.275862068965516,733,4.903137789904502,29,4572,325,0.4433833560709413,1.4693042291950886,0.7339699863574352,3.1377899045020468,1.5006821282401093,29.331514324693043,2.2045454545454546,54.26,12.0,12.5,8.75,14.9,12.81,15.25,18.380000000000003
Israel's competition watchdog charges supermarkets with price fixing,27.0,243,5.530864197530864,9,1663,152,0.6255144032921811,1.6790123456790123,0.7489711934156379,3.292181069958848,3.7037037037037033,46.09053497942387,1.791044776119403,42.0,12.5,15.1,10.39,15.8,13.76,12.5,16.68
"Large sinkhole appears in English village, forces evacuations",19.923076923076923,259,4.745173745173745,13,1551,155,0.5984555984555985,1.498069498069498,0.7413127413127413,4.633204633204633,1.9305019305019304,43.62934362934363,1.7272727272727273,59.43,10.0,11.7,9.1,11.8,10.98,15.25,18.28
Myanmar scam centre survivors recall torture and coercion  ,21.647058823529413,368,4.834239130434782,17,2276,208,0.5652173913043478,1.4103260869565217,0.7445652173913043,6.25,0.8152173913043478,40.21739130434783,1.5,65.86,9.6,10.6,9.51,13.4,11.53,14.0,18.72
Nigeria suing Binance for $81,23.454545454545453,258,5.151162790697675,11,1700,137,0.5310077519379846,1.6162790697674418,0.7906976744186046,3.488372093023256,5.038759689922481,35.27131782945737,1.7714285714285714,50.46,11.4,12.2,10.42,14.0,11.85,12.4,18.1
Rebel advance causes panic in Congolese border town Uvira,22.625,543,4.939226519337017,24,3425,278,0.5119705340699816,1.4843462246777164,0.7366482504604052,2.9465930018416207,2.209944751381215,34.43830570902394,1.8333333333333333,56.29,11.2,12.1,10.04,14.3,12.75,15.25,18.080000000000002
Romanian top judge denounces far-right presidential frontrunner's threats,21.058823529411764,358,5.379888268156424,17,2525,216,0.6033519553072626,1.6536312849162011,0.7597765363128491,4.4692737430167595,5.307262569832402,44.6927374301676,1.5809523809523809,44.85,11.5,12.9,10.42,14.5,11.96,21.666666666666668,17.639999999999997
