Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
AI Alexa and AI Siri face bugs and delays,19.857142857142858,139,4.805755395683454,7,848,88,0.6330935251798561,1.5179856115107915,0.7266187050359713,2.158273381294964,0.0,43.16546762589928,2.4516129032258065,59.74,9.9,11.8,9.39,12.4,10.84,12.2,
AI and security startups blossom on cloudy days,19.291666666666668,463,4.991360691144709,24,3061,269,0.5809935205183585,1.531317494600432,0.7796976241900648,3.023758099352052,3.2397408207343417,44.27645788336933,1.5547945205479452,62.98,8.6,10.9,10.74,11.9,9.58,7.7142857142857135,18.4
Airbnb CEO says it’s still too early for AI trip planning,25.666666666666668,462,4.636363636363637,18,2817,233,0.5043290043290043,1.4653679653679654,0.7748917748917749,4.978354978354979,1.5151515151515151,33.98268398268398,2.05,58.32,10.4,11.8,9.0,12.7,11.42,14.75,18.34
Apple is reportedly exploring humanoid robots,22.666666666666668,612,4.913398692810458,27,3938,319,0.5212418300653595,1.5473856209150327,0.7467320261437909,1.7973856209150325,1.9607843137254901,39.37908496732026,2.023121387283237,49.55,11.7,13.2,9.58,14.2,13.18,16.0,17.880000000000003
Avride launches sidewalk delivery bots on Uber Eats in Jersey City,26.055555555555557,469,4.788912579957356,18,2915,236,0.5031982942430704,1.5159914712153517,0.6929637526652452,4.264392324093817,3.411513859275053,35.39445628997868,1.4594594594594594,57.0,10.9,13.6,9.74,13.9,13.25,16.75,17.68
"Barcelona-based spyware startup Variston shuts down, per filing",22.0,176,5.2102272727272725,8,1158,106,0.6022727272727273,1.5795454545454546,0.6988636363636364,0.5681818181818182,3.4090909090909087,44.88636363636363,1.66,49.15,11.9,13.4,9.84,15.7,13.12,12.4,17.96
Bluesky gets growth and analytics tools with BlueSkyHunter launch,24.38095238095238,512,4.9140625,21,3210,268,0.5234375,1.45703125,0.724609375,4.296875,3.125,35.9375,2.759259259259259,57.2,10.8,12.0,9.38,14.3,12.07,20.333333333333332,18.44
China’s Salt Typhoon hackers continue to breach telecom firms despite US sanctions,28.5,342,6.055555555555555,12,2654,182,0.5321637426900585,1.8859649122807018,0.7894736842105263,2.3391812865497075,4.385964912280701,38.01169590643275,1.797752808988764,27.83,13.9,14.8,10.64,17.4,13.11,14.0,16.68
Court filings show Meta paused efforts to license books for AI training,41.714285714285715,584,5.030821917808219,14,3762,277,0.4743150684931507,1.5565068493150684,0.684931506849315,4.965753424657534,2.73972602739726,31.164383561643838,2.167832167832168,45.39,13.3,14.5,9.4,16.5,14.54,10.5,17.76
Data center tweaks could unlock 76 GW of new power capacity in the US,19.833333333333332,476,4.928571428571429,24,2942,247,0.5189075630252101,1.596638655462185,0.7394957983193278,3.1512605042016806,3.1512605042016806,37.39495798319328,2.293103448275862,52.19,10.7,12.8,9.5,12.3,12.06,15.25,17.86
Death of OpenAI whistleblower deemed suicide in new autopsy report,29.0,203,5.16256157635468,7,1325,143,0.7044334975369458,1.6650246305418719,0.7192118226600985,6.403940886699508,3.4482758620689653,59.60591133004927,1.3181818181818181,39.97,13.3,15.2,11.73,15.7,15.55,14.2,17.240000000000002
DeepSeek Everything you need to know about the AI chatbot app,19.523809523809526,820,4.945121951219512,42,5383,409,0.49878048780487805,1.5134146341463415,0.7414634146341463,3.414634146341464,1.951219512195122,37.19512195121951,2.1989247311827955,62.27,8.9,11.9,9.74,12.7,10.69,8.833333333333334,18.32
Google Gemini now brings receipts to your AI chats,18.9375,303,4.818481848184819,16,1845,169,0.5577557755775577,1.5775577557755776,0.7557755775577558,5.9405940594059405,2.9702970297029703,37.95379537953795,1.7674418604651163,52.7,10.5,13.3,9.09,12.3,11.05,14.0,17.720000000000002
Instagram tests a ‘dislike’ button for comments,22.5,360,4.416666666666667,16,1996,163,0.4527777777777778,1.3916666666666666,0.7166666666666667,6.944444444444445,3.6111111111111107,25.833333333333336,1.7685185185185186,66.27,9.4,10.7,7.58,11.7,10.21,11.2,19.0
Mistral releases regional model focused on Arabic language and culture,18.875,453,5.061810154525387,24,2983,235,0.5187637969094923,1.6467991169977925,0.8035320088300221,3.532008830022075,1.9867549668874174,39.0728476821192,2.51,45.66,11.1,12.1,9.68,12.7,11.0,8.285714285714286,17.880000000000003
North Carolina Amazon workers vote against unionizing,33.5,201,4.885572139303482,6,1267,124,0.6169154228855721,1.5522388059701493,0.7213930348258707,2.9850746268656714,4.477611940298507,48.258706467661696,2.311111111111111,48.54,12.1,12.7,10.05,14.4,12.98,13.4,18.1
Open source LLMs hit Europe’s digital sovereignty roadmap,27.2972972972973,2020,4.818316831683168,74,12690,712,0.35247524752475246,1.4995049504950495,0.7074257425742574,4.356435643564356,2.0297029702970297,22.425742574257427,2.563063063063063,57.61,10.7,12.5,8.65,14.0,12.15,15.75,18.160000000000004
OpenAI teases a ‘simplified’ GPT-5 model,23.766666666666666,713,4.579242636746143,30,4328,355,0.49789621318373073,1.4516129032258065,0.7180925666199158,2.9453015427769986,2.3842917251051894,35.34361851332398,1.8265306122448979,61.26,9.3,11.2,9.69,10.7,10.47,6.375,18.860000000000003
