Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
Aurora_Leigh_Elizabeth_Barret_Browning,27.371111111111112,86219,4.047727299087208,3150,533503,8392,0.09733353437177421,1.2206938145884318,0.7118384578805136,12.037949871837995,0.8710377063060347,4.981500597316137,1.6794826364280653,83.09,7.1,8.9,6.09,10.8,9.52,10.8,19.46
A_Dome_of_Many-Coloured_Glass_Amy_Lowell,21.99271402550091,12074,4.330048037104522,549,85857,3033,0.25120092761305285,1.254182540997184,0.7235381812158357,8.56385621997681,1.14295179725029,15.123405665065428,1.497877358490566,73.31,8.8,8.7,7.48,11.6,10.37,6.857142857142857,19.599999999999998
A_Shropshire_Lad_A_E_Housman,25.220338983050848,8928,4.013328853046595,354,62758,2088,0.23387096774193547,1.1699148745519714,0.6989247311827957,9.240591397849462,0.6272401433691757,14.1913082437276,1.4878740157480315,79.74,8.4,7.4,7.08,11.3,10.67,10.2,19.86
Birds_Beasts_and_Flowers_D_H_Lawrence,17.260233918128655,23612,4.237633406742335,1368,157129,4354,0.1843977638488904,1.2908266982890055,0.7077757072674911,9.537523293240726,1.51617821446722,10.308317804506183,1.4168591224018476,79.19,6.5,9.4,6.78,9.6,8.29,10.8,19.339999999999996
Divine_Comedy_Dante_Alighieri,35.25660491952627,116100,4.252325581395349,3293,682140,10006,0.08618432385874246,1.2834280792420327,0.670396210163652,11.962101636520241,1.466838931955211,4.188630490956072,2.149776289853259,67.12,11.2,10.1,6.28,14.3,12.54,18.666666666666668,19.6
Endymion_A_Poetic_Romance_John_Keats,23.044274809160306,30188,4.286802703060819,1310,192022,5365,0.17771962369153305,1.2508281436332318,0.7194580628064131,9.69921823241023,1.3117795150390883,9.517026633099244,1.6873906330416881,71.99,9.3,8.9,7.19,12.7,10.76,8.5,19.56
Fragments_of_Ancient_Poetry_James_Macpherson,12.861205915813425,11305,4.236797877045555,879,66990,2200,0.19460415745245466,1.2748341441839894,0.642547545333923,10.358248562582927,1.5745245466607696,10.791685095090669,1.7098138747884941,82.95,5.1,8.2,6.52,6.6,6.85,6.5,19.42
Fruit-Gathering_Rabindranath_Tagore,19.373358348968104,10326,3.943153205500678,533,54467,2037,0.19726902963393375,1.1760604299825683,0.6581444896378075,14.390858028278133,0.9684292078249079,11.398411776099167,1.4975636166756903,87.35,5.5,6.4,6.34,7.0,7.58,9.0,19.84
Great_Poems_of_the_World_War_William_Dunseath_Eaton,23.26044226044226,37868,4.07589521495722,1628,228750,5876,0.15517059258476815,1.2072726312453788,0.6935407203971691,8.89933453047428,1.1328826449772895,8.577162775958593,1.4739996886190254,84.1,6.7,8.0,6.63,10.0,8.99,10.8,19.560000000000002
Idylls_of_the_King_Baron_Alfred_Tennyson,42.00506585612968,82918,4.030403531199498,1974,476332,6615,0.07977761161629562,1.171169106828433,0.6747871391012807,12.207240888588727,0.7851130032079887,3.584263971634627,1.5780940243557067,73.55,10.8,8.2,6.21,14.7,12.9,5.5,19.78
