Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
Arden_of_Feversham,13.191697191697191,21608,3.911421695668271,1638,128078,3092,0.143095149944465,1.1931691965938542,0.6834968530174009,16.206960385042578,0.684931506849315,7.922991484635321,1.7706891363226,90.39,4.3,6.8,6.11,7.0,6.5,6.285714285714286,19.759999999999998
A_Yorkshire_Tragedy,8.460508701472557,6320,4.060126582278481,747,34230,1507,0.2384493670886076,1.2435126582278482,0.714240506329114,15.680379746835444,1.0126582278481013,13.971518987341772,1.5120259019426456,83.15,5.0,7.1,6.57,6.1,6.26,6.428571428571429,19.380000000000003
Hamlet,8.882553606237817,36454,4.156910078455039,4104,225113,4931,0.135266363087727,1.2657321555933505,0.6847808196631371,12.75580183244637,1.9888078125857245,7.5629560542053,1.7902481497605574,82.85,5.1,8.0,6.04,6.7,6.51,14.0,19.14
Julius_Caesar,9.003897944720057,25409,4.315675548034161,2822,157841,3304,0.13003266559093235,1.3166200952418434,0.6988862214176079,12.389310874099728,1.5388248258491086,6.615766067141564,1.8225593667546174,82.24,5.4,8.4,5.84,7.5,6.64,14.0,19.16
King_Edward_III,14.504827586206897,21032,4.22679726131609,1450,115957,3669,0.1744484594903005,1.254374286801065,0.679298212248003,12.832826169646253,1.4739444655762648,9.837390642829973,1.8637226970560303,73.1,8.9,8.7,6.8,11.5,10.32,7.833333333333334,19.4
Locrine,14.079899074852818,16741,4.42828982736993,1189,96327,3322,0.19843497998924794,1.2710710232363658,0.6291141508870438,11.630129621886386,0.7944567230153515,11.032793739919956,1.8971882378192746,77.67,7.1,8.3,6.88,10.3,8.56,17.0,19.380000000000003
Macbeth,9.658307210031348,21567,4.219362915565447,2233,123758,3564,0.1652524690499374,1.2838132331803218,0.6953215560810497,11.295034079844205,1.7758612695321556,9.370797978392915,1.741033434650456,82.65,5.2,8.1,6.31,7.8,6.66,14.25,19.04
Mucedorus,8.566049776643267,13423,4.054309766818148,1567,74073,2229,0.1660582582135141,1.2241674737391046,0.6817402965059972,14.966847947552708,0.7896893391939209,9.275124785815391,1.6282698485543827,91.82,3.8,6.5,6.03,6.5,5.86,10.4,19.66
Romeo_&_Juliet,8.761440107671602,26039,3.967817504512462,2972,140475,3459,0.13283920273436,1.2066899650524214,0.7015630400553017,13.683321172088023,1.129075617343216,7.193056568992665,1.6118939574874611,92.42,3.5,7.0,5.86,5.8,5.69,13.25,19.66
Sir_John _Oldcastle,8.697796040343668,23284,4.053212506442192,2677,126435,3160,0.13571551279848823,1.2271516921491152,0.6834736299604879,14.009620340147741,1.1510049819618622,7.202370726679265,1.646863370547581,90.39,4.3,7.3,5.88,6.8,6.53,19.333333333333332,19.64
The_London_Prodigal,8.2990834539315,17204,3.9851197395954427,2073,92650,2178,0.1265984654731458,1.2022204138572425,0.707916763543362,16.205533596837945,0.5986979772146013,6.4345501046268305,1.566954073552701,90.9,4.1,6.7,5.61,6.4,6.09,4.777777777777778,19.6
The_Merchant_of_Venice,18.246872393661384,21878,4.032452692202212,1199,117530,3425,0.15654995886278453,1.201389523722461,0.5438796964987659,14.530578663497579,0.8684523265380748,9.1004662217753,1.9603031396607722,81.97,7.5,7.9,6.74,10.1,9.9,13.0,19.6
The_Merry_Devil_of_Edmonton,9.323657474600871,12848,4.061254669987547,1378,69758,2260,0.17590286425902865,1.2087484433374844,0.6571450809464509,13.636363636363635,0.8950809464508094,10.18057285180573,1.6267361111111112,89.18,4.8,7.3,6.28,7.5,7.03,18.666666666666668,19.72
The_Taming_of_the_Shrew,8.703210649960846,22228,4.030277127946734,2554,122423,3069,0.1380691020334713,1.2433867194529422,0.6599784056145402,15.51196688860896,0.8412812668706136,7.544538420010798,1.7171538234425745,82.54,5.2,7.9,5.95,6.8,6.24,3.5,19.46
The_Two_Noble_Kinsmen,10.803541315345699,25626,4.10266916413018,2372,139830,4135,0.16135955670022634,1.2276984312807304,0.5968937797549364,13.857020213845313,0.8506985093264653,9.716693982673846,1.8116046881782666,86.03,6.0,8.2,6.67,9.2,8.33,51.0,19.520000000000003
