Word,Conc.M,Conc.SD,Category
roadsweeper,4.85,0.37,Concrete
traindriver,4.54,0.71,Concrete
tush,4.45,1.01,Concrete
hairdress,3.93,1.28,Concrete
pharmaceutics,3.77,1.41,Concrete
hoover,3.76,1.23,Concrete
shopkeeping,3.18,1.19,Concrete
pushiness,2.48,1.24,Abstract
underdevelop,2.37,1.4,Abstract
tirelessness,2.28,1.28,Abstract
oldfashioned,2.26,1.02,Abstract
wellmannered,2.25,1.14,Abstract
dismissiveness,1.83,1.0,Abstract
spitefulness,1.8,0.76,Abstract
untruthfulness,1.73,0.92,Abstract
dispiritedness,1.56,0.71,Abstract
sled,5.0,0.0,Concrete
plunger,4.96,0.2,Concrete
human,4.93,0.26,Concrete
waterbed,4.93,0.27,Concrete
cymbal,4.92,0.28,Concrete
ginger,4.92,0.27,Concrete
bobsled,4.9,0.41,Concrete
cardboard,4.9,0.41,Concrete
olive,4.9,0.31,Concrete
dogsled,4.89,0.32,Concrete
rubber,4.86,0.74,Concrete
soybean,4.82,0.77,Concrete
tangerine,4.81,0.62,Concrete
headrest,4.8,0.76,Concrete
eucalyptus,4.77,0.57,Concrete
saltwater,4.77,0.82,Concrete
armrest,4.76,0.83,Concrete
paramedic,4.74,0.45,Concrete
liquid,4.72,0.54,Concrete
billfold,4.71,1.0,Concrete
canine,4.71,0.6,Concrete
flowerbed,4.71,0.6,Concrete
soy,4.7,0.6,Concrete
bald,4.69,0.47,Concrete
lilac,4.69,0.97,Concrete
hemorrhoid,4.68,0.72,Concrete
orange,4.66,0.9,Concrete
arachnid,4.65,0.69,Concrete
underarm,4.63,0.72,Concrete
barefoot,4.62,0.68,Concrete
bearded,4.62,0.7,Concrete
thyroid,4.61,0.74,Concrete
wooden,4.61,0.63,Concrete
sleeveless,4.6,0.5,Concrete
concrete,4.59,1.05,Concrete
panty,4.59,0.91,Concrete
pregnant,4.59,0.89,Concrete
helmeted,4.58,0.7,Concrete
hula,4.58,0.64,Concrete
female,4.57,0.88,Concrete
crematory,4.56,0.58,Concrete
